Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Population, total [SP.POP.TOTL]",Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]"
2010,YR2010,Germany,DEU,40428.7210307617,..,0.15882328495153,81776930,74.291,79.9878048780488,0.00874751908844809,4.2
2010,YR2010,Ghana,GHA,3059.4136985984,71.49707,12.4526277301014,24512104,50.713,60.8937317073171,1.40614287281402,74.7
2010,YR2010,Gibraltar,GIB,..,..,..,33189,100,..,..,..
2010,YR2010,Greece,GRC,28726.0792836873,..,0.319341036775021,11121341,76.292,80.3878048780488,0.00465295037622427,3.9
2010,YR2010,Greenland,GRL,..,..,0,56905,84.383,70.8570731707317,..,..
2010,YR2010,Grenada,GRD,11177.9997155594,..,0,104677,35.681,72.572,0.0657143000344511,14.6
2010,YR2010,Guam,GUM,..,..,0,159444,94.099,78.1828536585366,..,..
2010,YR2010,Guatemala,GTM,6714.06359554651,..,2.56791297320424,14630417,49.323,71.3862195121951,0.415223670367532,35.4
2010,YR2010,Guinea,GIN,1575.38231056336,25.30774,25.3098754121828,10794170,34.856,56.743243902439,3.93317126518011,109.4
2010,YR2010,Guinea-Bissau,GNB,1400.36271908519,..,14.9952030484571,1555880,45.221,55.0005365853659,2.91770453827323,114
2010,YR2010,Guyana,GUY,5847.85725499679,..,23.3507982149709,746556,28.239,66.0264146341463,0.620354537445157,37.6
2010,YR2010,Haiti,HTI,1502.03271141224,..,1.19217646335721,9999617,52.016,61.2531951219512,1.10042272473878,208
2010,YR2010,Honduras,HND,3971.18299352727,84.75536,2.74079141590315,8194778,51.696,72.3950487804878,0.468260349045002,23.4
2010,YR2010,"Hong Kong SAR, China",HKG,48107.7222260692,..,0.00143899522167942,7024200,100,82.9780487804878,..,..
2010,YR2010,Hungary,HUN,22404.2391969471,..,0.45008805396801,10000023,68.859,74.2073170731707,0.0210294733417512,6
2010,YR2010,Iceland,ISL,38815.2756502659,..,0,318041,93.624,81.8975609756098,0.00772259775639771,2.6
2010,YR2010,India,IND,4404.69700530452,..,4.65324116752377,1230980691,30.93,66.6399268292683,0.615066291933603,58.8
2010,YR2010,Indonesia,IDN,8433.49735678452,..,6.79061535639821,242524123,49.924,68.1527317073171,0.433617648387686,33.3
2010,YR2010,"Iran, Islamic Rep.",IRN,17942.8328426148,..,22.6287932942169,74567511,70.626,73.9561951219512,0.056345325181891,19.3
2010,YR2010,Iraq,IRQ,12717.5975271684,..,40.8701874497255,30762701,69.034,68.4821707317073,0.263525328126497,36.9
